S4_Temp,S1_Light,S2_Light,S3_Light,S1_Sound,S2_Sound,S3_Sound,S5_CO2_Slope,S6_PIR,S7_PIR
25.81,157,242,68,1.14,0.33,0.23,0.611538462,0,1
25.81,157,242,69,0.58,0.56,0.25,0.538461538,0,1
25.69,158,243,70,0.71,0.68,0.27,0.646153846,1,0
25.81,157,242,67,0.44,0.63,0.25,0.696153846,1,0
25.75,157,242,68,0.23,0.32,0.13,0.688461538,0,0
25.75,157,241,68,2.79,0.41,0.2,0.623076923,1,0
25.75,157,241,68,0.54,0.55,0.21,0.45,1,0
25.75,157,240,69,2.49,0.67,0.2,0.361538462,1,0
25.75,157,240,70,0.47,0.25,0.14,0.311538462,1,0
25.81,157,239,70,3.51,0.38,0.22,0.303846154,1,0
25.81,156,239,70,0.73,0.81,0.41,0.384615385,1,0
25.81,157,239,70,0.63,0.42,0.21,0.453846154,0,0
25.75,155,236,70,1.14,0.56,0.32,0.65,1,1
25.75,155,236,68,1.02,0.51,0.17,0.819230769,1,1
25.75,155,237,69,0.63,0.36,0.18,0.957692308,0,1
25.75,155,236,69,1.33,0.78,0.18,1.161538462,1,1
25.81,155,236,70,0.17,0.35,0.11,1.380769231,0,1
25.75,155,237,71,0.43,0.36,0.21,1.707692308,1,1
25.81,155,237,71,1.87,0.56,0.23,1.996153846,1,1
25.81,155,235,72,0.73,1.15,0.24,2.246153846,0,0
25.88,155,236,71,1.53,1.24,0.36,2.457692308,1,0
25.81,155,235,71,2.95,1.27,0.25,2.723076923,1,1
25.81,155,235,70,1.78,0.63,0.18,2.942307692,1,0
25.75,155,234,70,0.08,0.35,0.07,3.111538462,0,0
25.81,155,234,70,0.45,2.12,0.34,3.226923077,1,0
25.81,155,235,71,2.01,0.32,0.11,3.338461538,0,0
25.88,155,235,72,0.33,0.38,0.1,3.446153846,0,1
25.81,155,235,71,0.5,0.49,0.14,3.596153846,1,1
25.81,155,234,73,1.02,0.29,0.16,3.738461538,1,1
25.81,155,234,72,0.49,0.23,0.19,3.865384615,1,1
25.81,155,235,73,0.29,0.51,0.19,3.923076923,1,0
25.81,155,234,73,0.33,0.19,0.11,3.907692308,1,0
25.81,155,234,73,0.15,0.26,0.22,3.865384615,1,0
25.94,155,234,74,0.63,0.15,0.09,3.75,0,0
25.81,155,233,73,0.08,0.14,0.06,3.607692308,0,0
25.81,155,233,73,0.17,0.14,0.15,3.488461538,0,0
25.81,155,233,73,1.81,0.28,0.06,3.3,0,1
25.81,155,233,74,0.63,0.42,0.15,3.238461538,1,1
25.81,155,233,74,0.68,0.82,0.19,3.165384615,1,0
25.81,155,233,74,0.32,0.43,0.16,3.034615385,1,1
25.81,155,233,75,1.16,0.27,0.09,2.896153846,1,1
25.88,155,232,74,0.45,0.17,0.13,2.8,1,1
25.88,155,233,74,0.31,0.5,0.27,2.75,1,0
25.88,155,233,74,0.5,0.1,0.11,2.653846154,1,0
25.88,155,232,75,1.33,1.54,0.42,2.511538462,1,1
25.94,155,232,75,0.54,0.78,0.29,2.369230769,1,1
25.88,155,232,75,0.41,1.05,0.29,2.323076923,1,1
25.94,151,232,75,2.12,1.03,0.16,2.230769231,1,1
25.94,155,239,75,0.44,3.44,0.67,2.142307692,1,1
25.94,156,243,75,0.92,1.27,0.65,2.103846154,1,1
25.94,155,242,75,0.37,1.96,0.98,2.015384615,1,1
25.88,155,242,75,0.55,0.9,0.23,1.973076923,1,1
25.94,155,238,74,0.44,0.6,0.49,1.976923077,1,1
26,155,243,73,0.43,1.03,0.22,1.934615385,1,1
25.88,156,243,71,0.37,0.1,0.22,1.996153846,0,0
25.94,156,243,74,0.22,0.06,0.06,2.019230769,0,0
26,156,244,75,0.1,0.05,0.06,2.146153846,0,0
26,157,244,75,0.09,0.05,0.05,2.230769231,0,0
26,157,244,75,0.09,0.07,0.08,2.226923077,0,0
26,156,244,75,0.7,0.1,0.08,2.326923077,1,0
25.94,157,244,75,1.93,0.15,0.11,2.292307692,1,0
26.06,157,244,77,0.15,0.12,0.06,2.223076923,0,0
26,157,244,76,0.15,0.6,0.09,2.123076923,1,0
26.06,156,244,75,0.26,0.1,0.06,1.996153846,1,0
26,157,244,76,1.32,0.29,0.08,1.842307692,1,0
25.94,157,244,77,0.25,0.3,0.15,1.661538462,1,0
25.94,157,244,76,0.48,0.08,0.08,1.55,1,0
25.94,157,244,76,0.88,0.12,0.08,1.411538462,1,0
25.94,157,244,76,0.86,0.06,0.29,1.246153846,0,0
25.94,157,244,77,0.07,0.21,0.2,1.1,1,0
25.94,157,244,76,0.07,0.05,0.05,1.065384615,0,0
25.94,157,244,78,0.2,0.05,0.06,1,0,0
25.94,157,245,79,0.74,0.15,0.12,0.953846154,1,0
25.94,156,244,79,0.63,0.28,0.2,0.923076923,1,0
25.94,156,244,79,0.43,0.42,0.17,0.957692308,1,0
25.88,157,244,79,0.79,0.56,0.2,1.011538462,0,0
25.94,157,243,80,0.69,0.53,0.2,1.130769231,1,1
25.94,156,244,80,1.55,0.77,0.47,1.315384615,1,1
26,156,244,78,0.54,0.8,0.3,1.419230769,1,0
25.94,157,244,79,0.63,0.57,0.18,1.538461538,1,0
26,157,244,78,0.96,0.64,0.19,1.626923077,1,1
26,156,241,77,1.05,1.01,0.31,1.738461538,0,1
26,156,240,76,0.49,0.79,0.24,1.830769231,0,0
25.94,156,244,77,0.73,0.79,0.28,1.9,0,1
26,156,243,77,0.81,0.42,0.28,2.042307692,1,0
26,156,240,79,0.88,0.66,0.29,2.019230769,1,1
26,156,241,79,0.71,0.4,0.22,2.065384615,1,1
26,155,239,79,0.72,0.66,0.24,2.030769231,1,1
26.06,155,242,77,0.52,0.7,0.69,1.961538462,1,1
26.06,156,243,78,0.71,0.69,0.25,1.811538462,1,1
26.06,156,243,79,0.75,0.55,0.61,1.676923077,1,0
26.06,157,244,80,0.21,0.27,0.13,1.557692308,1,0
26.06,156,244,80,0.62,0.12,0.24,1.407692308,1,0
26.06,155,243,80,0.83,0.17,0.06,1.226923077,1,0
26.06,155,242,78,0.19,0.4,0.21,1.111538462,1,0
26.06,155,242,77,0.18,0.06,0.07,1.111538462,0,0
26.06,156,244,80,0.5,0.26,0.24,1.080769231,1,0
26,156,244,81,1.53,0.37,0.18,1.019230769,1,0
26,157,244,82,0.8,0.37,0.14,1.026923077,0,0
26,156,243,81,0.62,0.7,0.24,0.915384615,0,0
26,157,244,81,0.33,0.41,0.2,0.834615385,1,0
26.06,157,244,80,2.36,0.63,0.46,0.834615385,1,0
26.06,156,244,80,0.25,0.23,0.24,0.869230769,0,0
26,156,244,80,0.64,0.17,0.12,0.846153846,0,0
26.06,156,243,80,0.08,0.05,0.06,0.861538462,0,0
26,155,242,79,0.08,0.07,0.05,0.819230769,0,0
26.06,155,242,78,0.13,0.1,0.06,0.765384615,0,0
26,156,242,79,0.09,0.11,0.09,0.696153846,0,0
26,156,244,81,0.5,0.13,0.11,0.615384615,1,0
26.06,156,243,80,0.8,0.21,0.16,0.526923077,1,0
26,155,242,190,0.57,0.15,0.77,0.426923077,1,0
26,156,244,190,1.12,0.49,0.77,0.411538462,1,1
26.06,158,245,205,0.91,0.29,2.83,0.434615385,1,1
26.06,159,246,214,0.55,0.23,1.01,0.4,1,1
26.06,159,246,220,0.58,0.5,3.64,0.4,1,1
26.06,159,244,224,0.83,0.36,2.15,0.430769231,1,1
26.06,159,247,224,2.62,0.82,2.15,0.492307692,1,1
26,158,244,222,0.7,0.35,0.5,0.534615385,1,1
26.06,158,244,217,0.72,0.49,0.93,0.511538462,1,1
26.13,159,245,217,2.88,0.57,0.93,0.569230769,1,1
26.06,159,245,216,0.62,0.74,0.19,0.707692308,1,0
26.06,160,244,216,0.36,0.4,0.19,0.880769231,1,1
26.06,160,244,223,0.79,0.46,3.63,1.038461538,1,1
26.06,160,244,225,0.51,0.92,1.32,1.319230769,1,1
26.06,160,244,224,0.95,0.84,1.61,1.430769231,1,1
26.06,160,244,224,1.01,0.79,0.96,1.515384615,1,1
26.13,160,243,215,2.04,0.62,3.64,1.623076923,1,1
26.13,160,243,223,0.95,3.44,3.65,1.707692308,1,1
26.13,160,243,222,0.96,0.91,0.25,1.811538462,1,1
26.13,159,243,222,0.58,0.56,3.65,1.976923077,1,1
26.06,159,243,224,3.47,3.34,1.72,2.057692308,1,1
26.06,160,244,223,0.45,0.65,1.86,2.196153846,1,1
26.06,160,244,223,0.83,0.54,1.41,2.296153846,1,1
26.06,160,243,221,0.57,0.63,0.58,2.353846154,1,0
26.06,159,246,221,1.62,0.53,0.88,2.319230769,1,1
26.06,160,247,221,0.71,0.37,0.88,2.292307692,1,1
26.19,163,249,229,0.68,0.52,2.41,3.288461538,1,1
26.19,164,249,229,0.89,0.83,2.56,4.207692308,1,1
26.19,163,249,228,0.63,0.29,1.01,4.953846154,1,1
26.13,163,249,229,0.53,0.31,0.25,5.719230769,1,1
26.19,163,248,229,2.25,3.4,3.66,6.361538462,1,1
26.19,163,247,228,0.41,0.26,0.8,6.930769231,1,1
26.13,162,247,228,0.35,0.3,0.89,7.380769231,1,1
26.19,162,248,228,1.56,1.35,3.66,7.707692308,0,1
26.13,162,247,228,0.79,0.81,1.36,8.096153846,1,0
26.13,162,247,227,3.3,2.98,3.66,8.446153846,1,1
26.13,162,249,227,1.31,2.02,3.66,8.661538462,1,1
26.19,161,249,228,0.52,0.42,1.03,8.838461538,1,1
26.13,162,249,228,0.41,0.22,0.71,8.980769231,1,1
26.13,163,249,228,1.04,0.35,0.8,8.946153846,1,1
26.19,162,246,227,0.33,2.11,1.05,8.780769231,1,0
26.19,162,249,226,0.45,2.22,1.13,8.438461538,1,1
26.19,163,250,226,0.39,0.54,1.31,7.969230769,1,1
26.19,163,252,227,0.08,0.28,0.14,7.519230769,0,0
26.19,164,251,228,0.2,0.29,0.23,7.042307692,1,1
26.25,163,252,221,1.74,0.65,2,6.488461538,1,1
26.19,164,252,225,0.61,0.45,3.65,5.811538462,1,1
26.19,163,247,269,0.99,0.9,3.01,5.015384615,1,1
26.19,163,249,267,0.69,1.08,2.23,4.103846154,0,1
26.19,163,248,267,0.55,0.82,2.23,3.030769231,1,1
26.19,163,251,266,0.5,0.69,2.49,1.888461538,1,1
26.19,164,251,267,0.78,0.62,3.19,1.823076923,1,1
26.19,163,252,267,1.24,0.84,3.65,1.723076923,1,1
26.25,164,252,270,0.35,2.33,0.88,1.634615385,1,1
26.25,164,253,261,3.46,0.21,0.83,1.511538462,0,1
26.25,164,253,272,0.3,0.23,0.83,1.403846154,1,1
26.19,165,254,274,0.76,0.14,0.39,1.261538462,1,1
26.19,164,253,272,1.24,0.17,0.61,1.084615385,1,1
26.25,165,254,272,2.42,0.34,0.7,0.923076923,1,1
26.19,164,253,270,0.15,0.14,0.07,0.880769231,0,1
26.19,164,252,268,0.18,0.45,0.06,0.915384615,0,0
26.19,163,252,268,0.17,0.06,0.06,0.930769231,1,0
26.19,164,252,268,0.07,0.1,0.19,0.976923077,1,0
26.19,163,252,266,0.06,0.06,0.14,1.1,0,0
26.19,163,252,267,0.08,0.13,0.13,1.246153846,0,0
26.25,164,251,267,0.07,0.05,0.07,1.319230769,0,1
26.25,162,247,254,0.56,2.61,2.24,1.365384615,1,1
26.25,163,253,268,0.96,0.75,2.69,1.426923077,1,1
26.19,164,253,269,1.52,0.47,1.41,1.503846154,1,1
26.25,165,254,270,0.48,0.4,1.2,1.507692308,1,1
26.19,165,254,272,0.71,0.37,1.21,1.496153846,0,1
26.19,165,254,274,0.51,0.5,1.32,1.469230769,1,1
26.31,165,254,280,0.92,0.43,0.42,1.376923077,1,1
26.31,165,254,275,0.29,0.44,0.92,1.219230769,0,1
26.25,165,254,275,1.22,3.44,3.11,1.042307692,1,1
26.31,165,254,276,0.78,0.11,1.93,0.85,1,0
26.25,165,254,276,0.81,0.59,3.65,0.742307692,1,1
26.31,165,254,275,0.63,0.51,1.59,0.623076923,0,1
26.31,165,254,278,0.71,0.39,1.05,0.496153846,0,1
26.25,165,255,278,0.61,0.3,3,0.269230769,1,1
26.31,165,254,278,0.66,0.68,2.9,-0.096153846,1,1
26.25,165,254,250,0.55,0.4,0.27,-0.4,1,1
26.31,165,254,275,0.45,0.38,3.65,-0.646153846,0,1
26.25,165,254,276,0.56,0.63,2.27,-0.792307692,0,1
26.31,164,247,279,0.79,0.79,2.37,-0.892307692,1,1
26.31,165,256,278,1.48,0.88,2.68,-0.9,1,1
26.31,165,254,278,1.09,1.45,2.84,-0.911538462,1,1
26.25,165,254,276,0.39,1.43,1.63,-0.788461538,1,1
26.25,165,257,279,3.63,1.66,3.65,-0.534615385,1,1
26.31,164,258,279,0.99,0.22,0.3,-0.196153846,1,1
26.31,165,256,279,1.08,0.43,0.7,0.080769231,1,1
26.31,165,255,279,0.12,0.39,0.47,0.346153846,0,1
26.31,165,256,277,0.17,1.6,0.52,0.653846154,1,1
26.25,165,254,276,0.97,1.21,3.12,0.865384615,1,1
26.25,165,254,277,0.1,0.75,1.12,0.980769231,1,1
26.31,165,254,275,0.09,0.21,0.52,1.042307692,0,1
26.31,164,254,276,0.19,0.16,0.77,1.1,0,1
26.25,165,255,277,0.09,0.07,0.51,1.107692308,0,1
26.31,164,255,278,0.12,0.07,0.46,1.111538462,0,0
26.31,165,255,272,0.09,0.12,0.7,1.157692308,0,0
26.25,165,255,279,0.65,0.15,0.2,1.146153846,1,1
26.31,165,255,277,0.1,0.1,0.87,1.265384615,1,1
26.31,164,255,277,0.1,0.18,0.4,1.461538462,1,1
26.31,164,254,276,0.16,0.12,0.58,1.630769231,1,1
26.31,164,254,275,0.1,0.1,0.71,1.765384615,0,1
26.38,164,254,276,0.3,0.26,0.64,1.661538462,1,1
26.31,165,254,275,0.83,0.27,0.62,1.553846154,1,1
26.31,164,254,274,1.2,0.28,0.22,1.446153846,1,1
26.31,165,254,274,1.13,1.4,1.51,1.392307692,1,1
26.31,165,256,279,0.55,0.14,0.85,1.35,1,1
26.25,165,255,275,0.42,0.33,1.04,1.323076923,1,1
26.31,164,254,274,0.11,0.06,0.21,1.265384615,0,0
26.31,165,254,274,0.41,0.11,1.16,1.373076923,0,1
26.31,165,256,277,0.08,0.23,0.15,1.461538462,0,1
26.31,165,257,280,0.09,0.32,0.13,1.630769231,1,0
26.31,165,256,278,0.38,0.22,0.07,1.830769231,1,1
26.31,163,255,254,0.91,0.23,1.37,2.007692308,1,1
26.25,165,256,273,0.88,0.76,2.6,2.157692308,1,1
26.25,165,255,277,0.75,0.5,1.69,2.226923077,1,0
26.25,165,255,278,0.82,0.19,0.09,2.303846154,1,0
26.31,165,255,278,0.48,0.1,0.08,2.338461538,1,0
26.31,165,256,280,0.53,0.09,0.16,2.280769231,0,0
26.25,165,256,279,0.43,0.09,0.53,2.176923077,1,0
26.31,165,256,279,0.13,0.12,0.48,2.026923077,1,0
26.31,165,256,276,0.38,0.1,0.11,1.880769231,0,0
26.38,165,256,279,0.1,0.05,0.07,1.692307692,0,0
26.31,165,256,279,0.11,0.07,0.13,1.515384615,0,0
26.31,165,257,279,0.34,0.12,0.77,1.361538462,1,0
26.5,165,257,280,0.14,0.15,0.19,1.238461538,1,0
26.38,165,257,278,0.1,0.07,0.13,1.196153846,1,0
26.38,165,256,269,0.3,0.07,0.11,1.230769231,1,1
26.38,165,256,280,0.08,0.07,0.22,1.242307692,1,1
26.38,165,255,275,0.09,0.1,0.15,1.276923077,0,1
26.38,165,255,277,0.36,0.12,0.21,1.284615385,0,0
26.38,165,255,277,0.08,0.1,0.27,1.357692308,0,0
26.38,165,255,278,0.22,0.09,0.14,1.442307692,0,0
26.31,165,255,280,0.09,0.43,0.18,1.534615385,0,1
26.38,165,255,278,0.83,0.36,0.21,1.588461538,1,1
26.38,164,254,269,1.52,0.36,1.11,1.603846154,1,1
26.38,163,254,268,0.61,0.41,3.67,1.673076923,1,1
26.38,164,254,273,0.72,0.59,1.7,1.703846154,1,1
26.31,163,252,272,0.12,0.35,0.2,1.796153846,1,1
26.31,163,254,274,0.09,0.13,0.17,1.9,0,1
26.31,164,252,273,0.09,0.08,0.06,1.969230769,0,0
26.31,163,253,272,0.17,0.08,0.13,2.011538462,1,0
26.31,164,251,273,1.25,0.51,0.12,1.984615385,1,0
26.38,163,251,272,0.16,0.14,0.33,1.892307692,0,0
26.38,164,251,271,0.1,0.14,0.3,1.830769231,1,1
26.38,164,251,269,0.79,0.31,0.28,1.796153846,0,1
26.38,164,253,268,0.18,0.16,0.68,1.738461538,1,1
26.44,163,253,267,0.13,0.13,0.2,1.657692308,1,1
26.44,163,252,266,1.14,0.79,2.74,1.503846154,1,1
26.44,162,249,265,1.56,1.62,3.4,1.226923077,1,1
26.38,161,251,266,0.77,0.94,2.83,0.876923077,1,1
26.38,158,249,266,0.69,0.29,0.62,0.507692308,1,0
26.38,160,247,218,0.9,1.02,2.62,0.223076923,1,1
26.44,19,22,97,0.42,3.03,3.67,-0.069230769,1,1
26.38,19,22,98,2.32,2.08,1.64,-0.226923077,1,1
26.38,19,22,97,0.19,0.18,0.32,-0.303846154,0,1
26.38,19,22,98,0.1,0.11,0.11,-0.346153846,0,0
26.44,20,24,101,0.07,0.05,0.06,-0.3,0,0
26.44,19,23,101,0.08,0.05,0.06,-0.211538462,0,0
26.38,19,23,100,0.07,0.05,0.09,-0.176923077,0,0
26.44,19,23,99,0.08,0.05,0.06,-0.1,0,0
26.44,19,22,98,0.07,0.05,0.06,0.023076923,0,0
26.38,18,22,96,0.07,0.05,0.06,0.05,0,0
26.44,18,22,97,0.07,0.05,0.07,0.173076923,0,0
26.38,18,22,96,0.07,0.05,0.06,0.3,0,0
26.38,18,22,96,0.08,0.05,0.05,0.338461538,0,0
26.38,18,22,95,0.07,0.05,0.06,0.380769231,0,0
26.38,19,22,98,0.09,0.09,0.1,0.373076923,0,0
26.38,19,23,99,0.1,0.08,0.07,0.311538462,0,0
26.44,19,23,100,0.06,0.05,0.11,0.384615385,0,0
26.38,19,23,101,0.07,0.05,0.07,0.496153846,0,0
26.44,19,23,100,0.07,0.05,0.06,0.6,0,0
26.38,19,23,100,0.08,0.04,0.06,0.65,0,0
26.38,19,22,98,0.09,0.07,0.09,0.65,0,0
26.38,19,22,98,0.1,0.05,0.06,0.553846154,0,0
26.31,19,23,99,0.07,0.1,0.2,0.407692308,0,0
26.38,19,23,99,0.07,0.05,0.06,0.161538462,0,0
26.38,19,23,99,0.13,0.05,0.07,-0.180769231,0,0
26.38,18,22,99,0.07,0.14,0.21,-0.519230769,0,0
26.38,18,22,97,0.56,0.41,0.71,-0.707692308,1,1
26.44,18,22,98,0.07,0.11,0.16,-0.788461538,0,0
26.38,18,22,96,0.07,0.05,0.06,-0.996153846,0,0
26.38,18,22,96,0.07,0.05,0.07,-1.226923077,0,0
26.38,18,22,95,0.08,0.05,0.06,-1.519230769,0,0
26.31,18,22,96,0.07,0.05,0.06,-1.865384615,0,0
26.38,18,22,98,0.07,0.05,0.07,-2.257692308,0,0
26.38,19,23,99,0.08,0.04,0.06,-2.688461538,0,0
26.38,19,23,99,0.09,0.11,0.1,-3.2,0,0
26.38,19,23,99,0.08,0.11,0.1,-3.688461538,0,0
26.38,19,23,99,0.07,0.1,0.09,-4.196153846,0,0
26.38,18,23,99,0.07,0.07,0.07,-4.769230769,0,0
26.38,18,22,98,0.07,0.05,0.06,-5.257692308,0,0
26.38,18,22,97,0.07,0.05,0.05,-5.703846154,0,0
26.38,18,22,96,0.1,0.12,0.11,-6.011538462,0,0
26.38,17,21,94,0.08,0.05,0.06,-6.176923077,0,0
26.38,17,21,93,0.07,0.05,0.06,-6.288461538,0,0
26.38,17,21,92,0.07,0.05,0.06,-6.296153846,0,0
26.38,17,20,92,0.06,0.05,0.05,-6.296153846,0,0
26.38,17,20,92,0.07,0.05,0.07,-6.242307692,0,0
26.38,18,22,95,0.07,0.05,0.06,-6.138461538,0,0
26.38,17,21,95,0.08,0.05,0.06,-5.938461538,0,0
26.38,17,21,94,0.07,0.05,0.07,-5.738461538,0,0
26.31,17,21,93,0.08,0.05,0.07,-5.542307692,0,0
26.31,17,21,95,0.07,0.05,0.06,-5.257692308,0,0
26.38,17,21,94,0.07,0.05,0.06,-4.834615385,0,0
26.38,17,21,93,0.07,0.04,0.07,-4.319230769,0,0
26.38,17,21,94,0.08,0.07,0.06,-3.903846154,0,0
26.38,17,21,95,0.07,0.05,0.08,-3.496153846,0,0
26.38,17,21,95,0.07,0.05,0.06,-3.15,0,0
26.38,17,21,93,0.07,0.05,0.07,-2.823076923,0,0
26.31,17,21,93,0.06,0.05,0.07,-2.523076923,0,0
26.38,17,21,93,0.07,0.07,0.06,-2.35,0,0
26.31,17,21,94,0.06,0.05,0.07,-2.211538462,0,0
26.31,16,21,93,0.07,0.05,0.06,-2.161538462,0,0
26.31,17,21,93,0.08,0.06,0.09,-2.153846154,0,0
26.31,17,21,94,0.06,0.08,0.1,-2.284615385,0,0
26.31,17,21,94,0.08,0.07,0.07,-2.503846154,0,0
26.38,17,21,95,0.08,0.05,0.07,-2.761538462,0,0
26.38,16,21,93,0.08,0.05,0.07,-2.911538462,0,0
26.38,16,21,94,0.06,0.05,0.07,-3.096153846,0,0
26.38,16,20,94,0.07,0.04,0.07,-3.315384615,0,0
26.31,16,20,93,0.08,0.05,0.06,-3.473076923,0,0
26.31,16,20,93,0.07,0.05,0.06,-3.665384615,0,0
26.38,16,20,91,0.07,0.05,0.06,-3.842307692,0,0
26.31,16,20,90,0.07,0.05,0.05,-3.907692308,0,0
26.38,15,20,90,0.07,0.05,0.06,-3.957692308,0,0
26.38,15,20,89,0.07,0.05,0.06,-3.992307692,0,0
26.38,15,20,89,0.07,0.05,0.06,-3.919230769,0,0
26.31,15,20,89,0.07,0.05,0.06,-3.788461538,0,0
26.31,15,20,89,0.07,0.05,0.07,-3.646153846,0,0
26.38,15,20,88,0.07,0.05,0.06,-3.396153846,0,0
26.38,15,20,89,0.07,0.05,0.06,-3.234615385,0,0
26.38,15,20,88,0.06,0.05,0.06,-3.111538462,0,0
26.38,14,19,86,0.07,0.05,0.06,-3.069230769,0,0
26.31,14,19,85,0.09,0.05,0.07,-2.961538462,0,0
26.31,14,18,84,0.07,0.06,0.09,-2.880769231,0,0
26.31,14,18,84,0.08,0.05,0.07,-2.873076923,0,0
26.31,14,18,83,0.07,0.06,0.07,-2.842307692,0,0
26.31,14,18,82,0.08,0.04,0.07,-2.742307692,0,0
26.38,14,17,80,0.08,0.06,0.08,-2.626923077,0,0
26.31,14,18,82,0.08,0.05,0.07,-2.55,0,0
